推奨日,code,銘柄名,業種,買い指値,利確,損切り
2026-08-19,86300,ＳＯＭＰＯホールディングス,保険業,6588.0,7246.8,6258.6
2026-08-19,73270,第四北越フィナンシャルグループ,銀行業,2427.0,2669.7,2305.7
2026-08-19,83770,ほくほくフィナンシャルグループ,銀行業,7962.0,8758.2,7563.9
2026-08-19,83600,山梨中央銀行,銀行業,7100.0,7810.0,6745.0
2026-08-19,83080,りそなホールディングス,銀行業,2356.5,2592.2,2238.7
2026-08-19,83660,滋賀銀行,銀行業,2638.0,2901.8,2506.1
2026-08-19,83670,南都銀行,銀行業,1875.0,2062.5,1781.2
2026-08-19,58300,いよぎんホールディングス,銀行業,3820.0,4202.0,3629.0
2026-08-19,83680,百五銀行,銀行業,2179.0,2396.9,2070.0
2026-08-19,87140,池田泉州ホールディングス,銀行業,1056.0,1161.6,1003.2
2026-08-20,86300,ＳＯＭＰＯホールディングス,保険業,6635.0,7298.5,6303.2
2026-08-20,73270,第四北越フィナンシャルグループ,銀行業,2427.0,2669.7,2305.7
2026-08-20,83770,ほくほくフィナンシャルグループ,銀行業,7882.0,8670.2,7487.9
2026-08-20,83080,りそなホールディングス,銀行業,2347.5,2582.2,2230.1
2026-08-20,83600,山梨中央銀行,銀行業,7090.0,7799.0,6735.5
2026-08-20,83660,滋賀銀行,銀行業,2674.0,2941.4,2540.3
2026-08-20,83670,南都銀行,銀行業,1865.0,2051.5,1771.8
2026-08-20,58300,いよぎんホールディングス,銀行業,3830.0,4213.0,3638.5
2026-08-20,83680,百五銀行,銀行業,2205.0,2425.5,2094.8
2026-08-21,86300,ＳＯＭＰＯホールディングス,保険業,6757.0,7432.7,6419.1
2026-08-21,83770,ほくほくフィナンシャルグループ,銀行業,8041.0,8845.1,7638.9
2026-08-21,83600,山梨中央銀行,銀行業,7130.0,7843.0,6773.5
2026-08-21,83660,滋賀銀行,銀行業,2666.0,2932.6,2532.7
2026-08-21,83670,南都銀行,銀行業,1872.0,2059.2,1778.4
2026-08-21,87140,池田泉州ホールディングス,銀行業,1055.0,1160.5,1002.2
2026-08-24,86300,ＳＯＭＰＯホールディングス,保険業,6708.0,7378.8,6372.6
2026-08-24,83770,ほくほくフィナンシャルグループ,銀行業,7932.0,8725.2,7535.4
2026-08-24,83080,りそなホールディングス,銀行業,2371.0,2608.1,2252.4
2026-08-24,83600,山梨中央銀行,銀行業,7020.0,7722.0,6669.0
2026-08-24,83660,滋賀銀行,銀行業,2641.0,2905.1,2508.9
2026-08-24,83670,南都銀行,銀行業,1842.0,2026.2,1749.9
2026-08-24,87140,池田泉州ホールディングス,銀行業,1035.0,1138.5,983.2
2026-08-24,83680,百五銀行,銀行業,2207.0,2427.7,2096.7
2026-08-25,86300,ＳＯＭＰＯホールディングス,保険業,6803.0,7483.3,6462.8
2026-08-25,83770,ほくほくフィナンシャルグループ,銀行業,8025.0,8827.5,7623.8
2026-08-25,83600,山梨中央銀行,銀行業,7110.0,7821.0,6754.5
2026-08-25,83660,滋賀銀行,銀行業,2698.0,2967.8,2563.1
2026-08-25,83670,南都銀行,銀行業,1865.0,2051.5,1771.8
2026-08-27,86300,ＳＯＭＰＯホールディングス,保険業,6850.0,7535.0,6507.5
2026-08-28,86300,ＳＯＭＰＯホールディングス,保険業,6861.0,7547.1,6517.9
2026-08-31,86300,ＳＯＭＰＯホールディングス,保険業,6850.0,7535.0,6507.5
