as_of,code,company_name,sector33,market,market_cap_oku,turnover_oku,turnover_spike,op_yoy,sales_yoy,pct_from_high,price,max_return,final_return,is_winner
2025-06-26,13010,極洋,水産・農林業,プライム,,1.685515,0.6991035958200986,,,-0.04413347685683533,4440.0,0.15540540540540548,0.11599099099099108,False
2025-06-26,13050,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,その他,その他,,2.9695443,0.9174517698288949,,,-0.029022895840051577,3011.0,0.10494852208568584,0.10494852208568584,False
2025-06-26,13060,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,その他,その他,,40.7079187,1.4106578934687188,,,-0.029488432714239177,2978.5,0.1059258015779756,0.10559006211180133,False
2025-06-26,13080,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＴＯＰＩＸ,その他,その他,,4.62250346,0.7231144126705574,,,-0.02838283828382837,2944.0,0.10597826086956519,0.10563858695652173,False
2025-06-26,13090,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,その他,その他,,0.0162458,0.48038509344870683,,,-0.4340844340844341,43700.0,0.20503432494279172,0.20503432494279172,False
2025-06-26,130A0,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,グロース,,0.318091,0.5660766353488647,,,-0.47916666666666663,625.0,0.4383999999999999,0.14080000000000004,False
2025-06-26,13110,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,その他,その他,,0.06552575,0.48184026238723876,,,-0.08043478260869563,1480.5,0.11685241472475516,0.11313745356298543,False
2025-06-26,13190,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,その他,その他,,0.027765,0.10344611748259877,,,-0.01763668430335097,557.0,0.16140035906642725,0.16140035906642725,False
2025-06-26,13200,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,その他,その他,,12.4233337,0.8413374990911151,,,-0.04773985239852396,41290.0,0.13586824897069505,0.13586824897069505,False
2025-06-26,13210,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,その他,その他,,143.1227009,1.6922868769607013,,,-0.04734543783038381,41450.0,0.1355850422195417,0.1355850422195417,False
