利確%,損切%,勝率%,平均%,中央%,対相場超過%
5,-5,54.2,0.43,1.56,0.03
5,-7,57.8,0.28,2.69,0.44
5,-8,58.7,0.2,3.04,0.56
5,-10,59.8,0.06,3.47,0.76
5,-12,60.4,-0.05,3.72,0.91
5,-15,60.9,-0.15,3.98,0.93
5,-18,61.2,-0.19,4.11,0.93
5,-20,61.3,-0.2,4.2,0.97
7,-5,50.0,0.65,0.04,-0.49
7,-7,53.6,0.49,0.93,-0.25
7,-8,54.5,0.41,1.13,0.01
7,-10,55.6,0.26,1.36,0.15
7,-12,56.2,0.14,1.48,0.3
7,-15,56.7,0.04,1.6,0.36
7,-18,57.0,-0.01,1.66,0.36
7,-20,57.1,-0.01,1.68,0.39
8,-5,48.8,0.76,-0.22,-0.75
8,-7,52.4,0.59,0.6,-0.34
8,-8,53.3,0.51,0.8,-0.25
8,-10,54.4,0.36,1.01,-0.04
8,-12,55.0,0.24,1.13,0.02
8,-15,55.5,0.14,1.24,0.12
8,-18,55.8,0.09,1.29,0.15
8,-20,55.9,0.08,1.32,0.15
10,-5,47.3,0.92,-0.62,-0.95
10,-7,50.8,0.76,0.24,-0.68
10,-8,51.7,0.68,0.42,-0.53
10,-10,52.8,0.53,0.64,-0.35
10,-12,53.4,0.41,0.75,-0.25
10,-15,54.0,0.3,0.84,-0.2
10,-18,54.3,0.25,0.9,-0.13
10,-20,54.4,0.24,0.92,-0.1
12,-5,46.4,1.05,-0.8,-1.14
12,-7,50.0,0.9,0.0,-0.82
12,-8,50.9,0.82,0.25,-0.65
12,-10,52.0,0.67,0.46,-0.42
12,-12,52.6,0.54,0.57,-0.39
12,-15,53.1,0.44,0.66,-0.35
12,-18,53.4,0.38,0.72,-0.27
12,-20,53.5,0.38,0.74,-0.27
15,-5,45.8,1.21,-0.94,-1.17
15,-7,49.3,1.06,0.0,-0.88
15,-8,50.2,0.98,0.1,-0.77
15,-10,51.3,0.83,0.33,-0.52
15,-12,51.9,0.71,0.43,-0.47
15,-15,52.5,0.6,0.53,-0.42
15,-18,52.8,0.55,0.58,-0.39
15,-20,52.9,0.55,0.6,-0.39
18,-5,45.5,1.32,-1.01,-1.18
18,-7,49.0,1.19,-0.09,-0.92
18,-8,49.9,1.1,0.0,-0.8
18,-10,51.0,0.95,0.27,-0.52
18,-12,51.6,0.83,0.37,-0.52
18,-15,52.2,0.73,0.47,-0.42
18,-18,52.5,0.68,0.52,-0.41
18,-20,52.6,0.67,0.54,-0.41
20,-5,45.4,1.37,-1.03,-1.18
20,-7,48.9,1.25,-0.12,-0.93
20,-8,49.8,1.17,0.0,-0.83
20,-10,50.9,1.02,0.25,-0.57
20,-12,51.5,0.89,0.35,-0.52
20,-15,52.1,0.79,0.45,-0.5
20,-18,52.4,0.74,0.5,-0.42
20,-20,52.5,0.73,0.52,-0.42
