利確%,5日,10日,15日,20日,区分,指標
+6%,0.12691437811395725,0.0976913437913988,0.07229016205353768,0.06183543278121605,全売られすぎ(乖離マイナス全部),平均リターン
+8%,0.2305773180259664,0.23966390160908652,0.23751025108985666,0.2331570917010576,全売られすぎ(乖離マイナス全部),平均リターン
+10%,0.30060834964555094,0.3483271206605999,0.3673321160579689,0.3735300362825884,全売られすぎ(乖離マイナス全部),平均リターン
+12%,0.35196953702562933,0.4326532402104757,0.4769371690435014,0.4914306740862598,全売られすぎ(乖離マイナス全部),平均リターン
+15%,0.4003214452199087,0.5223113246823323,0.5970046301262417,0.6295674954362767,全売られすぎ(乖離マイナス全部),平均リターン
+20%,0.44635728715482753,0.6156624192556512,0.7342980462239751,0.7932395604227245,全売られすぎ(乖離マイナス全部),平均リターン
なし,0.5345233966942922,0.8024403527983006,1.021747256516488,1.152844401466021,全売られすぎ(乖離マイナス全部),平均リターン
+6%,52.466989519094234,53.462063909899705,54.14008492268202,55.015964053785936,全売られすぎ(乖離マイナス全部),勝率
+8%,52.21131704635833,52.63028556196061,52.6737310559498,52.92813258084147,全売られすぎ(乖離マイナス全部),勝率
+10%,52.119291612360556,52.28582852953917,51.97784843093053,51.8844252523821,全売られすぎ(乖離マイナス全部),勝率
+12%,52.07806754916698,52.11422478424578,51.6399078268044,51.32922630609301,全売られすぎ(乖離マイナス全部),勝率
+15%,52.03684348597341,51.97594215454333,51.36947200426697,50.87906499829106,全売られすぎ(乖離マイナス全部),勝率
+20%,52.01602325203726,51.895138449235276,51.199459961747294,50.58062472385938,全売られすぎ(乖離マイナス全部),勝率
なし,52.00561313506918,51.84099163639999,51.075701195501345,50.34679093341781,全売られすぎ(乖離マイナス全部),勝率
+6%,0.16419714706130015,0.09979966914372643,0.06288435508507145,0.020358809288826576,移動平均-10〜-5乖離,平均リターン
+8%,0.2968214749730784,0.28864436344049427,0.27430716599606453,0.2200839432315095,移動平均-10〜-5乖離,平均リターン
+10%,0.3768454473014585,0.41602632036024784,0.41475358358359393,0.3629046051288908,移動平均-10〜-5乖離,平均リターン
+12%,0.4308193100404976,0.516511792748232,0.5430534018967448,0.5002390393153672,移動平均-10〜-5乖離,平均リターン
+15%,0.4799492240830807,0.6197174935196492,0.6691891995089748,0.6465456122518484,移動平均-10〜-5乖離,平均リターン
+20%,0.5210137060213308,0.7123210620125224,0.8008685577350994,0.7980560110812362,移動平均-10〜-5乖離,平均リターン
なし,0.6257199241508183,0.9329715126892337,1.1408373050010567,1.222381089204857,移動平均-10〜-5乖離,平均リターン
+6%,53.25310082279259,53.8773304512294,54.79647235119267,55.76847484276729,移動平均-10〜-5乖離,勝率
+8%,52.93135208154243,52.7351330107342,52.74031493354951,52.84738600628931,移動平均-10〜-5乖離,勝率
+10%,52.796266732162586,52.16771879835916,51.62994079642323,51.17924528301887,移動平均-10〜-5乖離,勝率
+12%,52.725039911580495,51.926997617351574,51.13125506669615,50.385711477987414,移動平均-10〜-5乖離,勝率
+15%,52.67591796635147,51.73049053081476,50.71117989534969,49.73466981132076,移動平均-10〜-5乖離,勝率
+20%,52.656269188259856,51.62241163321952,50.453239000663274,49.258058176100626,移動平均-10〜-5乖離,勝率
なし,52.6341643129068,51.54626513718651,50.28373498415506,48.926395440251575,移動平均-10〜-5乖離,勝率
+6%,0.9724495662031603,0.9912542807165834,0.9535878322767786,0.9604912808547906,移動平均-20〜-10乖離,平均リターン
+8%,1.3458259873939493,1.4615896567203477,1.4507317278862515,1.4355662106627527,移動平均-20〜-10乖離,平均リターン
+10%,1.606386104028115,1.8274431299417688,1.8715954326992035,1.8200018289196893,移動平均-20〜-10乖離,平均リターン
+12%,1.7947045964072292,2.1212658569086456,2.239283674555477,2.175656921982846,移動平均-20〜-10乖離,平均リターン
+15%,1.96602498727248,2.4179109445406475,2.6345078444987404,2.573492482144148,移動平均-20〜-10乖離,平均リターン
+20%,2.1058520687906803,2.696184320185168,3.0519705488407745,3.018087186581159,移動平均-20〜-10乖離,平均リターン
なし,2.2923882483662563,3.0999281636349933,3.6762682466468584,3.7589261813517636,移動平均-20〜-10乖離,平均リターン
