code,銘柄名,業種,高値からの下落%,次決算まで営業日,終値,信用買い残,信用売り残,信用倍率,業種空売り比率,過去該当n,平均_損切なし%,平均_損切5%,勝率_損切なし%,2週で+10%到達%,2週で-5%到達%,過去最小%,過去最大%
85630,大東銀行,銀行業,-14.4,64,1031.0,635300,900,705.89,,63,-0.59,-0.43,49.2,0.0,19.0,-10.21,4.73
71610,じもとホールディングス,銀行業,-14.2,62,521.0,644000,14500,44.41,,26,-0.6,0.09,50.0,15.4,50.0,-13.35,14.99
83490,東北銀行,銀行業,-14.0,56,1461.0,137700,400,344.25,,69,-0.3,-0.15,52.2,1.4,13.0,-18.55,5.09
13760,カネコ種苗,水産・農林業,-13.7,44,1562.0,31200,200,156.0,,64,-0.26,-0.21,45.3,0.0,10.9,-7.38,3.7
85440,京葉銀行,銀行業,-12.4,57,2572.0,708500,96000,7.38,,45,0.5,1.46,62.2,17.8,20.0,-26.76,8.7
85580,東和銀行,銀行業,-11.7,60,1356.0,298600,46800,6.38,,55,-0.19,0.09,50.9,9.1,27.3,-11.56,15.29
83610,大垣共立銀行,銀行業,-11.3,62,7300.0,221700,31800,6.97,,50,1.03,1.42,62.0,12.0,14.0,-21.8,9.59
13830,ベルグアース,水産・農林業,-10.6,24,3005.0,8900,0,,,64,-0.03,0.11,56.2,0.0,9.4,-13.07,3.43
71820,ゆうちょ銀行,銀行業,-10.4,62,3087.0,2067800,174600,11.84,,58,0.01,0.28,46.6,3.4,27.6,-13.08,12.61
93070,杉村倉庫,倉庫･運輸関連業,-10.4,55,987.0,164800,10500,15.7,,52,0.46,0.52,50.0,9.6,17.3,-13.34,10.09
83650,富山銀行,銀行業,-9.5,60,2333.0,128100,27600,4.64,,32,0.41,0.38,56.2,3.1,25.0,-5.75,6.86
83830,鳥取銀行,銀行業,-9.5,57,1830.0,121300,5200,23.33,,35,-0.8,-0.77,37.1,0.0,25.7,-6.78,4.57
93260,関通ホールディングス,倉庫･運輸関連業,-9.5,45,497.0,201800,0,,,20,-1.14,-2.1,30.0,5.0,45.0,-10.12,21.78
85370,大光銀行,銀行業,-9.1,55,2711.0,238700,7900,30.22,,45,0.84,1.32,55.6,22.2,24.4,-17.92,18.59
83870,四国銀行,銀行業,-8.7,62,3320.0,738400,40400,18.28,,60,0.39,0.73,55.0,8.3,15.0,-19.9,8.72
71800,九州フィナンシャルグループ,銀行業,-8.5,62,1473.5,2057200,110700,18.58,,23,-0.06,-0.67,43.5,13.0,47.8,-8.39,9.06
83380,筑波銀行,銀行業,-8.3,61,672.0,4376600,372700,11.74,,39,-0.39,0.31,51.3,17.9,43.6,-21.88,13.61
83160,三井住友フィナンシャルグループ,銀行業,-8.1,57,6629.0,11228900,857400,13.1,,18,0.75,0.33,61.1,5.6,44.4,-7.18,13.2
83060,三菱ＵＦＪフィナンシャル・グループ,銀行業,-7.6,61,3510.0,33729900,2571400,13.12,,44,0.3,1.09,63.6,9.1,15.9,-20.87,8.62
87660,東京海上ホールディングス,保険業,-7.6,32,7752.0,1847700,236100,7.83,,53,-0.06,0.58,43.4,15.1,32.1,-31.12,32.18
71860,横浜フィナンシャルグループ,銀行業,-7.3,60,1837.5,907100,76500,11.86,,56,0.12,0.58,64.3,14.3,23.2,-26.22,8.85
71840,富山第一銀行,銀行業,-7.1,59,2969.0,132800,94800,1.4,,46,0.51,0.92,52.2,19.6,34.8,-20.05,19.26
83540,ふくおかフィナンシャルグループ,銀行業,-6.9,62,7262.0,593400,34500,17.2,,60,0.12,0.19,51.7,3.3,25.0,-21.1,10.53
87140,池田泉州ホールディングス,銀行業,-6.6,55,1014.0,5218600,164600,31.7,,56,0.47,0.51,57.1,14.3,17.9,-19.74,9.8
71770,ＧＭＯフィナンシャルホールディングス,証券･商品先物取引業,-6.4,60,1088.0,708600,100,7086.0,,53,0.29,0.4,58.5,1.9,7.5,-12.43,6.39
87950,Ｔ＆Ｄホールディングス,保険業,-6.4,62,4847.0,122000,124900,0.98,,59,0.51,1.03,57.6,11.9,27.1,-22.94,10.37
86170,光世証券,証券･商品先物取引業,-6.3,55,561.0,446500,4300,103.84,,30,-0.27,-0.09,46.7,3.3,23.3,-7.51,10.17
83370,千葉興業銀行,銀行業,-6.2,61,2618.0,417500,26000,16.06,,54,0.6,1.32,55.6,16.7,38.9,-23.35,23.48
83640,清水銀行,銀行業,-6.1,59,2747.0,444100,6100,72.8,,60,-0.57,-0.36,43.3,0.0,20.0,-14.02,7.35
83680,百五銀行,銀行業,-6.1,57,2060.0,1079500,162900,6.63,,46,-0.0,0.56,52.2,13.0,15.2,-23.71,12.28
83590,八十二長野銀行,銀行業,-6.1,57,2534.5,441700,138800,3.18,,48,1.35,1.58,60.4,12.5,18.8,-22.26,12.58
87500,第一ライフグループ,保険業,-6.1,62,1839.5,2307500,600100,3.85,,33,0.52,0.82,57.6,15.2,24.2,-17.92,11.27
85420,トマト銀行,銀行業,-6.0,60,1751.0,141900,2400,59.12,,64,-0.18,-0.2,42.2,1.6,14.1,-8.35,5.14
93680,キムラユニティー,倉庫･運輸関連業,-6.0,56,924.0,54300,3500,15.51,,34,-1.71,-0.19,47.1,2.9,17.6,-54.28,3.8
84110,みずほフィナンシャルグループ,銀行業,-6.0,56,8244.0,7858000,616900,12.74,,39,1.17,1.38,64.1,12.8,20.5,-22.71,11.56
71850,ヒロセ通商,証券･商品先物取引業,-5.9,56,3930.0,23200,0,,,37,-0.88,-0.25,43.2,0.0,16.2,-26.59,5.14
83700,紀陽銀行,銀行業,-5.6,59,4730.0,257100,14600,17.61,,48,0.61,0.94,66.7,12.5,16.7,-15.68,8.89
84180,山口フィナンシャルグループ,銀行業,-5.5,62,2998.0,875100,53900,16.24,,51,-0.17,0.32,54.9,5.9,25.5,-17.5,6.8
85500,栃木銀行,銀行業,-5.4,56,1014.0,1998900,35000,57.11,,44,0.92,1.35,59.1,11.4,29.5,-20.06,19.38
85410,愛媛銀行,銀行業,-5.2,59,2780.0,685000,22700,30.18,,36,0.08,0.57,55.6,11.1,22.2,-16.56,8.25
73370,ひろぎんホールディングス,銀行業,-5.1,60,2231.5,1023600,28900,35.42,,56,-0.3,0.19,50.0,3.6,21.4,-23.92,8.91
83600,山梨中央銀行,銀行業,-5.1,59,6890.0,969100,20300,47.74,,47,0.66,1.3,57.4,19.1,21.3,-26.76,16.01
83080,りそなホールディングス,銀行業,-5.0,57,2273.0,3131400,566600,5.53,,63,1.11,1.52,60.3,19.0,17.5,-23.08,15.07
93130,丸八倉庫,倉庫･運輸関連業,-5.0,42,1053.0,61200,0,,,50,0.46,0.5,56.0,2.0,10.0,-6.28,7.12
