code,銘柄名,業種,起点日,5倍到達日,かかった日数,起点株価,到達株価,倍率
55370,ＡｌｂａＬｉｎｋ,不動産業,2023-11-29,2025-12-15,1,264.8,1755.0,6.63
65730,ＣＲＡＶＩＡ,サービス業,2023-07-31,2023-08-21,14,80.3,473.3,5.89
23300,フォーサイド,情報･通信業,2024-02-01,2024-02-27,16,78.0,455.0,5.83
81050,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,卸売業,2025-08-04,2025-08-12,5,53.0,305.0,5.75
43920,ＦＩＧ,情報･通信業,2026-05-07,2026-05-21,10,349.0,1981.0,5.68
55350,ミガロホールディングス,不動産業,2024-12-19,2025-02-12,33,374.2,2125.0,5.68
278A0,Ｔｅｒｒａ　Ｄｒｏｎｅ,精密機器,2026-03-23,2026-05-11,31,2891.0,16400.0,5.67
43160,ビーマップ,情報･通信業,2025-07-03,2025-08-22,34,369.0,2081.0,5.64
44990,Ｓｐｅｅｅ,情報･通信業,2024-08-05,2024-11-22,74,886.0,4960.0,5.6
77940,イーディーピー,その他製品,2026-01-26,2026-02-17,15,478.0,2673.0,5.59
485A0,パワーエックス,電気機器,2026-02-13,2026-05-08,54,841.7,4696.7,5.58
39050,データセクション,情報･通信業,2025-05-28,2025-07-10,31,738.0,4090.0,5.54
40820,第一稀元素化学工業,化学,2025-10-21,2026-01-19,58,694.0,3840.0,5.53
76030,ジーイエット,小売業,2025-06-12,2025-06-18,4,115.0,635.0,5.52
52430,ｎｏｔｅ,情報･通信業,2025-01-14,2025-02-12,20,528.0,2909.0,5.51
33500,メタプラネット,卸売業,2025-04-28,2025-06-16,32,344.0,1895.0,5.51
29010,ウェルディッシュ,食料品,2024-08-05,2024-11-08,64,180.0,990.0,5.5
30410,ビューティカダンホールディングス,卸売業,2023-05-09,2023-05-16,5,414.0,2274.0,5.49
27430,,,2024-02-28,2024-03-29,21,53.0,290.0,5.47
59500,日本パワーファスニング,金属製品,2024-06-14,2024-11-29,114,121.0,661.0,5.46
31030,ユニチカ,繊維製品,2026-01-26,2026-02-17,15,404.0,2192.0,5.43
58030,フジクラ,非鉄金属,2025-04-07,2025-10-27,137,598.8,3225.8,5.39
48890,レナサイエンス,医薬品,2025-01-08,2025-01-28,13,302.0,1625.0,5.38
68360,ぷらっとホーム,電気機器,2024-07-30,2024-08-22,16,232.0,1245.0,5.37
76150,京都きもの友禅ホールディングス,小売業,2025-04-09,2025-08-22,92,69.0,369.0,5.35
57240,アサカ理研,非鉄金属,2025-04-15,2026-01-15,183,897.0,4795.0,5.35
45060,住友ファーマ,医薬品,2025-04-16,2025-11-20,147,508.0,2702.0,5.32
52550,モンスターラボ,情報･通信業,2025-04-09,2025-06-23,50,62.0,329.0,5.31
23210,ソフトフロントホールディングス,情報･通信業,2025-04-07,2026-03-06,223,76.0,403.0,5.3
93990,ビート・ホールディングス・リミテッド（貝徳控股有限公司）,情報･通信業,2024-07-24,2024-10-11,54,57.9,306.5,5.29
60720,地盤ネットホールディングス,サービス業,2026-02-09,2026-02-16,4,198.0,1048.0,5.29
65220,アスタリスク,電気機器,2026-03-16,2026-07-07,76,397.0,2096.0,5.28
57130,住友金属鉱山,非鉄金属,2025-04-09,2026-02-27,216,2401.5,12625.0,5.26
57060,三井金属,非鉄金属,2025-05-13,2025-11-17,128,4042.0,21230.0,5.25
74260,山大,卸売業,2023-10-10,2024-03-05,97,976.0,5110.0,5.24
62170,津田駒工業,機械,2026-04-10,2026-04-23,9,445.0,2333.0,5.24
68140,古野電気,電気機器,2025-04-07,2025-10-27,137,1898.0,9950.0,5.24
38250,リミックスポイント,小売業,2024-11-13,2025-02-13,60,154.0,806.0,5.23
49710,メック,化学,2025-04-22,2026-05-07,251,1993.0,10420.0,5.23
69760,太陽誘電,電気機器,2026-04-02,2026-06-16,49,3861.0,20190.0,5.23
92560,サクシード,サービス業,2026-05-11,2026-06-24,32,849.0,4440.0,5.23
25860,フルッタフルッタ,食料品,2024-08-23,2025-07-08,212,65.0,340.0,5.23
