code,銘柄名,業種,高値からの下落%,次決算まで営業日,終値,売買代金(3日平均)億,信用買い残,信用売り残,信用倍率,業種空売り比率,過去該当n,平均_損切なし%,平均_損切5%,勝率_損切なし%,2週で+10%到達%,2週で-5%到達%,過去最小%,過去最大%
87660,東京海上ホールディングス,保険業,-13.7,59,7241.0,385.8,1978800,176800,11.19,,54,-0.09,0.53,42.6,14.8,33.3,-31.12,32.18
86300,ＳＯＭＰＯホールディングス,保険業,-10.5,60,6588.0,230.3,310300,68300,4.54,,50,1.96,2.31,70.0,14.0,10.0,-15.17,15.85
71730,東京きらぼしフィナンシャルグループ,銀行業,-9.9,52,1701.0,16.8,4686800,193400,24.23,,61,-0.0,0.53,47.5,13.1,29.5,-20.75,8.81
87500,第一ライフグループ,保険業,-9.3,55,1776.0,170.0,2200600,592100,3.72,,52,0.19,0.68,59.6,13.5,26.9,-25.85,11.27
83160,三井住友フィナンシャルグループ,銀行業,-9.0,50,6568.0,733.1,11884000,662400,17.94,,43,1.32,1.15,62.8,9.3,18.6,-7.18,13.2
85440,京葉銀行,銀行業,-8.8,50,2677.0,11.9,722100,79000,9.14,,46,0.48,1.42,60.9,17.4,19.6,-26.76,8.7
83660,滋賀銀行,銀行業,-8.8,49,2638.0,17.7,598500,137300,4.36,,49,1.31,1.34,61.2,18.4,14.3,-8.0,10.31
87950,Ｔ＆Ｄホールディングス,保険業,-8.5,55,4738.0,66.2,133700,283300,0.47,,58,0.46,0.98,56.9,8.6,27.6,-22.94,8.39
83380,筑波銀行,銀行業,-8.1,55,712.0,16.5,3613800,463600,7.8,,39,-0.39,0.31,51.3,17.9,43.6,-21.88,13.61
83060,三菱ＵＦＪフィナンシャル・グループ,銀行業,-8.0,55,3495.0,1305.7,34287700,3040100,11.28,,45,0.26,1.03,62.2,8.9,15.6,-20.87,8.62
71820,ゆうちょ銀行,銀行業,-7.9,55,3173.0,212.9,1927600,136900,14.08,,58,0.01,0.28,46.6,3.4,27.6,-13.08,12.61
86010,大和証券グループ本社,証券･商品先物取引業,-7.7,55,1735.0,65.2,2417400,273000,8.85,,30,1.1,1.6,76.7,13.3,20.0,-21.89,12.68
84110,みずほフィナンシャルグループ,銀行業,-7.6,50,8108.0,757.5,7240600,521300,13.89,,39,1.33,1.53,64.1,15.4,20.5,-22.71,11.56
71800,九州フィナンシャルグループ,銀行業,-7.4,55,1491.0,17.8,1836700,97900,18.76,,22,-0.33,-0.97,40.9,9.1,50.0,-8.39,6.01
83770,ほくほくフィナンシャルグループ,銀行業,-7.3,49,7962.0,38.8,683600,54400,12.57,,47,1.44,1.82,66.0,23.4,23.4,-19.49,15.2
73810,ＣＣＩグループ,銀行業,-7.2,50,1208.0,5.4,429400,203200,2.11,,52,0.37,0.95,57.7,15.4,25.0,-25.38,9.24
86040,野村ホールディングス,証券･商品先物取引業,-7.2,55,1509.5,133.0,9672800,596800,16.21,,49,0.03,0.5,65.3,2.0,26.5,-20.27,7.28
83680,百五銀行,銀行業,-6.9,50,2179.0,21.2,1020600,189100,5.4,,47,0.06,0.61,53.2,14.9,14.9,-23.71,12.28
85500,栃木銀行,銀行業,-6.6,50,1052.0,7.4,1696300,83400,20.34,,45,1.17,1.6,57.8,13.3,26.7,-20.06,19.38
71860,横浜フィナンシャルグループ,銀行業,-6.5,54,1853.0,72.9,1060700,50000,21.21,,55,0.08,0.55,63.6,14.5,23.6,-26.22,8.85
71840,富山第一銀行,銀行業,-6.5,52,3100.0,7.2,128700,90600,1.42,,47,0.45,0.86,51.1,19.1,34.0,-20.05,19.26
