購入日,銘柄コード,業種,おすすめ度(%),買値,売値,決済理由,売却日,購入金額(固定),買手数料,売却金額,売手数料,純損益(固定1000万)
2024-11-01,47770,情報･通信業,87.6,223.0,211.8,SL(-5%),2024-11-06,10000000.0,1430,9497757.847533634,1430,-505102.15246636607
2024-11-01,70630,サービス業,85.4,630.0,693.0,TP(+10%),2024-11-05,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,27430,その他,91.4,104.0,98.8,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-01,68320,電気機器,77.8,2227.0,2115.7,SL(-5%),2024-11-06,10000000.0,1430,9500224.51728783,1430,-502635.4827121701
2024-11-01,45980,医薬品,86.4,658.0,625.1,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-01,30410,卸売業,86.2,440.0,484.0,TP(+10%),2024-11-05,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,37790,情報･通信業,81.4,189.0,207.9,TP(+10%),2024-11-05,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,40620,電気機器,70.5,4668.0,5134.8,TP(+10%),2024-11-05,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,35420,小売業,67.2,740.0,703.0,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-01,24370,サービス業,72.5,257.0,282.7,TP(+10%),2024-11-05,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2024-11-01,24920,サービス業,69.8,318.0,302.1,SL(-5%),2024-11-07,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-01,38100,情報･通信業,66.4,194.0,213.4,TP(+10%),2024-11-08,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,23300,情報･通信業,83.3,162.0,153.9,SL(-5%),2024-11-05,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-01,47720,情報･通信業,66.8,129.0,141.9,TP(+10%),2024-11-06,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,48910,医薬品,63.0,196.0,215.6,TP(+10%),2024-11-08,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,14720,その他,67.4,251.0,238.4,SL(-5%),2024-11-07,10000000.0,1430,9498007.96812749,1430,-504852.0318725109
2024-11-01,27210,卸売業,64.3,178.0,169.1,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-05,79010,その他製品,96.9,1230.0,1168.5,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-05,63910,機械,80.1,4005.0,3804.8,SL(-5%),2024-11-11,10000000.0,1430,9500124.84394507,1430,-502735.15605493076
2024-11-05,69610,電気機器,89.4,5000.0,5500.0,TP(+10%),2024-11-06,10000000.0,1430,11000000.0,1430,997140.0
2024-11-05,45980,医薬品,76.9,682.0,647.9,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-05,24370,サービス業,83.5,287.0,272.6,SL(-5%),2024-11-06,10000000.0,1430,9498257.839721255,1430,-504602.160278745
2024-11-05,70630,サービス業,79.2,727.0,799.7,TP(+10%),2024-11-06,10000000.0,1430,11000000.0,1430,997140.0
2024-11-05,71050,その他,70.5,1169.0,1285.9,TP(+10%),2024-11-08,10000000.0,1430,11000000.0,1430,997140.0
2024-11-05,63660,建設業,68.0,309.0,339.9,TP(+10%),2024-11-07,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2024-11-05,46640,サービス業,80.0,801.0,760.9,SL(-5%),2024-11-06,10000000.0,1430,9499375.780274656,1430,-503484.21972534433
2024-11-05,30410,卸売業,77.6,486.0,461.7,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-05,37790,情報･通信業,79.3,191.0,210.1,TP(+10%),2024-11-07,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2024-11-05,17730,建設業,66.6,71.0,78.1,TP(+10%),2024-11-07,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2024-11-05,66380,電気機器,62.8,1392.0,1531.2,TP(+10%),2024-11-07,10000000.0,1430,11000000.0,1430,997140.0
2024-11-05,17570,その他,62.8,25.0,23.8,SL(-5%),2024-11-12,10000000.0,1430,9520000.0,1430,-482860.0
2024-11-05,27430,その他,70.2,100.0,95.0,SL(-5%),2024-11-06,10000000.0,1430,9500000.0,1430,-502860.0
2024-11-01,76870,卸売業,77.9,437.0,480.7,TP(+10%),2024-11-13,10000000.0,1430,11000000.0,1430,997140.0
2024-11-01,52530,情報･通信業,78.1,2094.0,2303.4,TP(+10%),2024-11-13,10000000.0,1430,11000000.0,1430,997140.0
