buy_date,code,sector,buy_price,shares,buy_amount,buy_fee,sell_date,reason,sell_price,sell_amount,sell_fee,net_pnl
2024-11-01,47770,情報･通信業,223.0,22400,4995200.0,1018,2024-11-06,SL(-5%),211.8,4744320.0,1018,-252916.0
2024-11-05,79010,その他製品,1230.0,3800,4674000.0,1018,2024-11-06,SL(-5%),1168.5,4440300.0,1018,-235736.0
2024-11-01,76870,卸売業,437.0,11400,4981800.0,1018,2024-11-13,TP(+10%),480.7,5479980.0,1430,495732.0
2024-11-06,26560,小売業,94.0,48100,4521400.0,1018,2024-11-07,SL(-5%),89.3,4295330.0,1018,-228106.0
2024-11-07,67310,電気機器,81.0,60300,4884300.0,1018,2024-11-08,SL(-5%),77.0,4643100.0,1018,-243236.0
2024-11-07,51310,情報･通信業,158.0,30900,4882200.0,1018,2024-11-08,TP(+10%),173.8,5370420.0,1430,485772.0
2024-11-08,17830,不動産業,41.0,122200,5010200.0,1430,2024-11-15,SL(-5%),38.9,4753580.0,1018,-259068.0
2024-11-08,60260,その他,6370.0,700,4459000.0,1018,2024-11-13,SL(-5%),6051.5,4236050.0,1018,-224986.0
2024-11-11,66340,電気機器,101.0,47200,4767200.0,1018,2024-11-12,TP(+10%),111.1,5243920.0,1430,474272.0
2024-11-11,73860,その他,2570.0,1600,4112000.0,1018,2024-11-12,SL(-5%),2441.5,3906400.0,1018,-207636.0
2024-11-12,76150,小売業,99.0,49500,4900500.0,1018,2024-11-13,TP(+10%),108.9,5390550.0,1430,487602.0
2024-11-12,66340,電気機器,115.0,37900,4358500.0,1018,2024-11-13,SL(-5%),109.2,4138680.0,1018,-221856.0
2024-11-13,65480,サービス業,210.0,23900,5019000.0,1430,2024-11-20,SL(-5%),199.5,4768050.0,1018,-253398.0
2024-11-13,41680,情報･通信業,851.0,5300,4510300.0,1018,2024-11-20,SL(-5%),808.4,4284520.0,1018,-227816.0
2024-11-20,92360,サービス業,1071.0,4400,4712400.0,1018,2024-11-21,SL(-5%),1017.4,4476560.0,1018,-237876.0
