buy_date,code,sector,buy_price,shares,buy_amount,buy_fee,sell_date,reason,sell_price,sell_amount,sell_fee,net_pnl
2024-11-01,47770,情報･通信業,223.0,22400,4995200.0,1018,2024-11-06,SL(-5%),211.8,4744320.0,1018,-252916.0
2024-11-05,79010,その他製品,1230.0,3900,4797000.0,1018,2024-11-06,SL(-5%),1168.5,4557150.0,1018,-241886.0
2024-11-06,26560,小売業,94.0,50500,4747000.0,1018,2024-11-07,SL(-5%),89.3,4509650.0,1018,-239386.0
2024-11-07,67310,電気機器,81.0,57100,4625100.0,1018,2024-11-08,SL(-5%),77.0,4396700.0,1018,-230436.0
2024-11-08,17830,不動産業,41.0,110100,4514100.0,1018,2024-11-15,SL(-5%),38.9,4282890.0,1018,-233246.0
2024-11-11,66340,電気機器,101.0,43500,4393500.0,1018,2024-11-12,TP(+10%),111.1,4832850.0,1018,437314.0
2024-11-12,76150,小売業,99.0,46600,4613400.0,1018,2024-11-13,TP(+10%),108.9,5074740.0,1430,458892.0
2024-11-13,65480,サービス業,210.0,23000,4830000.0,1018,2024-11-20,SL(-5%),199.5,4588500.0,1018,-243536.0
2024-11-20,92360,サービス業,1071.0,4400,4712400.0,1018,2024-11-21,SL(-5%),1017.4,4476560.0,1018,-237876.0
2024-11-21,69690,電気機器,499.0,9200,4590800.0,1018,2024-12-04,SL(-5%),474.0,4360800.0,1018,-232036.0
2024-12-03,94170,情報･通信業,314.0,14300,4490200.0,1018,2024-12-05,SL(-5%),298.3,4265690.0,1018,-226546.0
2024-12-04,52420,情報･通信業,1720.0,2500,4300000.0,1018,2024-12-05,SL(-5%),1634.0,4085000.0,1018,-217036.0
2024-12-05,70350,サービス業,234.0,18200,4258800.0,1018,2024-12-10,SL(-5%),222.3,4045860.0,1018,-214976.0
2024-12-06,65370,サービス業,392.0,10600,4155200.0,1018,2024-12-10,SL(-5%),372.4,3947439.9999999995,1018,-209796.00000000047
2024-12-09,66960,電気機器,402.0,10000,4020000.0,1018,2024-12-11,SL(-5%),381.9,3819000.0,1018,-203036.0
2024-12-11,49370,化学,1400.0,2800,3920000.0,1018,2024-12-12,TP(+10%),1540.0,4312000.0,1018,389964.0
2024-12-12,40750,情報･通信業,741.0,5600,4149600.0,1018,2024-12-16,SL(-5%),703.9,3941840.0,1018,-209796.0
2024-12-13,67210,電気機器,80.0,50500,4040000.0,1018,2024-12-26,TP(+10%),88.0,4444000.0,1018,401964.0
2024-12-26,43810,情報･通信業,481.0,8800,4232800.0,1018,2024-12-27,TP(+10%),529.1,4656080.0,1018,421244.0
2024-12-27,70440,サービス業,250.0,17800,4450000.0,1018,2024-12-30,SL(-5%),237.5,4227500.0,1018,-224536.0
2024-12-30,65220,電気機器,490.0,8800,4312000.0,1018,2025-01-06,TP(+10%),539.0,4743200.0,1018,429164.0
2025-01-06,38580,情報･通信業,497.0,9100,4522700.0,1018,2025-01-21,SL(-5%),472.2,4297020.0,1018,-227716.0
2025-01-21,93300,サービス業,834.0,5300,4420200.0,1018,2025-02-17,TP(+10%),917.4,4862220.0,1018,439984.0
2025-02-10,53800,ガラス･土石製品,2087.0,2200,4591400.0,1018,2025-02-12,TP(+10%),2295.7,5050540.0,1430,456692.0
2025-02-12,23880,その他金融業,70.0,69900,4893000.0,1018,2025-02-14,SL(-5%),66.5,4648350.0,1018,-246686.0
2025-02-13,31370,小売業,222.0,21400,4750800.0,1018,2025-02-14,TP(+10%),244.2,5225880.0,1430,472632.0
2025-02-14,93440,サービス業,845.0,5900,4985500.0,1018,2025-02-20,SL(-5%),802.8,4736520.0,1018,-251016.0
2025-02-17,50330,情報･通信業,1020.0,4700,4794000.0,1018,2025-02-20,SL(-5%),969.0,4554300.0,1018,-241736.0
2025-02-18,91620,サービス業,351.0,13500,4738500.0,1018,2025-02-19,TP(+10%),386.1,5212350.0,1430,471402.0
2025-02-19,70910,サービス業,990.0,5000,4950000.0,1018,2025-04-21,TP(+10%),1089.0,5445000.0,1430,492552.0
2025-04-15,61470,機械,301.0,17400,5237400.0,1430,2025-04-16,TP(+10%),331.1,5761140.0,1430,520880.0
2025-04-16,68400,電気機器,235.0,23400,5499000.0,1430,2025-04-17,SL(-5%),223.2,5222880.0,1430,-278980.0
2025-04-17,92410,サービス業,1202.0,4400,5288800.0,1430,2025-04-23,TP(+10%),1322.2,5817680.0,1430,526020.0
2025-04-18,47350,サービス業,342.0,16400,5608800.0,1430,2025-05-29,TP(+10%),376.2,6169680.0,1430,558020.0
2025-05-23,78650,その他製品,628.0,9400,5903200.0,1430,2025-05-30,SL(-5%),596.6,5608040.0,1430,-298020.0
2025-05-26,92400,サービス業,383.0,15000,5745000.0,1430,2025-05-27,TP(+10%),421.3,6319500.0,1430,571640.0
2025-05-27,74620,小売業,176.0,34300,6036800.0,1430,2025-06-09,TP(+10%),193.6,6640480.0,1430,600820.0
2025-06-03,60540,サービス業,158.0,40100,6335800.0,1430,2025-06-10,SL(-5%),150.1,6019010.0,1430,-319650.0
2025-06-04,39860,情報･通信業,497.66666666666663,12400,6171066.666666666,1430,2025-06-13,SL(-5%),472.8,5862720.0,1430,-311206.66666666605
2025-06-05,36340,情報･通信業,639.0,9400,6006600.0,1430,2025-06-06,SL(-5%),607.0,5705800.0,1430,-303660.0
